name,category,status,source,note
Dardanel Ton Balık,BALIK,kosullu,Çölyakla Yaşam Derneği,İşlenmemiş/garnitürsüz veya listelenen ürünler; etiket kontrolü gerekli
Vefa Bozacısı,BOZA,kosullu,Çölyakla Yaşam Derneği,Glutensiz etiketi olan
Güzel Gıda Chia Tohumu,CHİA TOHUMU,uygun,Çölyakla Yaşam Derneği,
Nustil Chia Tohumu,CHİA TOHUMU,uygun,Çölyakla Yaşam Derneği,
Wefood Chia,CHİA TOHUMU,uygun,Çölyakla Yaşam Derneği,
Poco Loco Tortilla Cipsi,CİPSLER,uygun,Çölyakla Yaşam Derneği,
Nustil Kinoa Cipsi,CİPSLER,uygun,Çölyakla Yaşam Derneği,
Patisswiss Puff Nohut Cipsi,CİPSLER,uygun,Çölyakla Yaşam Derneği,
Aroha Bitter Sade Çikolata,ÇİKOLATA,uygun,Çölyakla Yaşam Derneği,
Aroha Sütlü Fındıklı Çikolata,ÇİKOLATA,uygun,Çölyakla Yaşam Derneği,
Green Dream Bitter Çikolata,ÇİKOLATA,uygun,Çölyakla Yaşam Derneği,
Kinder Surprise,ÇİKOLATA,uygun,Çölyakla Yaşam Derneği,
Toblerone,ÇİKOLATA,uygun,Çölyakla Yaşam Derneği,
Tadelle Fındık Dolgulu Sütlü Çikolata,ÇİKOLATA,uygun,Çölyakla Yaşam Derneği,
Elit Çikolata,ÇİKOLATA,kosullu,Çölyakla Yaşam Derneği,Etiket içerik bilgisi okunmalı; gluten içerir/içerebilir yazılıysa tüketilmemeli
Chocolat Stella Chili,ÇİKOLATA,uygun,Çölyakla Yaşam Derneği,Sadece Chili ve Baobab Fruit ürünleri glutensiz olarak listelenmiş
Chocolat Stella Diğer Ürünler,ÇİKOLATA,uygun_degil,Çölyakla Yaşam Derneği,Dernek sayfasında diğer Chocolat Stella ürünlerinin glutenli olduğu belirtilmiş
Mabel Kalp Karamel,ÇİKOLATA,uygun_degil,Çölyakla Yaşam Derneği,Çok zayıf ihtimal de olsa çapraz bulaşma ihtimali
Mabel Tane Bademli,ÇİKOLATA,uygun_degil,Çölyakla Yaşam Derneği,Çapraz bulaşma ihtimali
Mabel Gofret,ÇİKOLATA,uygun_degil,Çölyakla Yaşam Derneği,Bünyesinde buğday proteini içeren ürün
Mabel Dolgulu Tablet,ÇİKOLATA,uygun_degil,Çölyakla Yaşam Derneği,Bünyesinde buğday proteini içeren ürün
Dr.Oetker Glutensiz Çikolata Sosu,ÇİKOLATA SOSU,uygun,Çölyakla Yaşam Derneği,
Pınar Kakaolu Sos,ÇİKOLATA SOSU,uygun,Çölyakla Yaşam Derneği,
Canderel,TATLANDIRICI,uygun,Çölyakla Yaşam Derneği,
Takita,TATLANDIRICI,uygun,Çölyakla Yaşam Derneği,
Tat Domates Püresi,DOMATES ÜRÜNLERİ,uygun,Çölyakla Yaşam Derneği,
Tat Domates Rendesi,DOMATES ÜRÜNLERİ,uygun,Çölyakla Yaşam Derneği,
Tukaş Rendelenmiş Domates,DOMATES ÜRÜNLERİ,uygun,Çölyakla Yaşam Derneği,
Alpedo Sade Dondurma,DONDURMA,uygun,Çölyakla Yaşam Derneği,
Mado Dondurması,DONDURMA,uygun,Çölyakla Yaşam Derneği,Sade fıstık kakao karamel vişne muz çilek vb listelenmiş
Superfresh Dondurulmuş Sebze,DONDURULMUŞ SEBZELER,kosullu,Çölyakla Yaşam Derneği,Sossuz sade patates ve işlenmemiş sossuz sebze/meyve ürünleri
Erpiliç Tavuk Döner,DÖNER,uygun,Çölyakla Yaşam Derneği,
Aytaç Şef Burger,HAMBURGER KÖFTESİ,uygun,Çölyakla Yaşam Derneği,
Backhaus Glutensiz Ekmekleri,EKMEKLER,uygun,Çölyakla Yaşam Derneği,
Bezgluten Ekmekleri,EKMEKLER,uygun,Çölyakla Yaşam Derneği,
Dr. Ekmek Glutensiz Ekmekleri,EKMEKLER,uygun,Çölyakla Yaşam Derneği,
M Life Glutensiz Ekmeği,EKMEKLER,uygun,Çölyakla Yaşam Derneği,
Schar Glutensiz Ekmek Çeşitleri,EKMEKLER,uygun,Çölyakla Yaşam Derneği,
Nutella,EKMEK ÜSTÜ KREMALAR,uygun,Çölyakla Yaşam Derneği,
Koska Fındık Kreması,EKMEK ÜSTÜ KREMALAR,uygun,Çölyakla Yaşam Derneği,
Sarelle Kakaolu Fındık Kreması,EKMEK ÜSTÜ KREMALAR,uygun,Çölyakla Yaşam Derneği,
